arunmanikandan@KDE-ORG:~/arun_manikandan_linux_training/arun_manikandan_linux_training_module_2$ ps aux --sort=-%mem | awk 'NR==2 {print $2}'2360
arunmanikandan@KDE-ORG:~/arun_manikandan_linux_training/arun_manikandan_linux_training_module_2$ kill -9 2360
arunmanikandan@KDE-ORG:~/arun_manikandan_linux_training/arun_manikandan_linux_training_module_2$ ps aux
USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.1  0.3  22928 13884 ?        Ss   19:46   0:01 /sbin/init splash
root         182  0.0  0.0      0     0 ?        S    19:46   0:00 [scsi_eh_3]
root         183  0.0  0.0      0     0 ?        I<   19:46   0:00 [kworker/R-scsi_]
root         184  0.0  0.0      0     0 ?        S    19:46   0:00 [scsi_eh_4]
root         185  0.0  0.0      0     0 ?        I<   19:46   0:00 [kworker/R-scsi_]
root         186  0.0  0.0      0     0 ?        S    19:46   0:00 [scsi_eh_5]
root         187  0.0  0.0      0     0 ?        I<   19:46   0:00 [kworker/R-scsi_]
root         188  0.0  0.0      0     0 ?        S    19:46   0:00 [scsi_eh_6]
root         189  0.0  0.0      0     0 ?        I<   19:46   0:00 [kworker/R-scsi_]
root         190  0.0  0.0      0     0 ?        S    19:46   0:00 [scsi_eh_7]
root         191  0.0  0.0      0     0 ?        I<   19:46   0:00 [kworker/R-scsi_]
root         192  0.0  0.0      0     0 ?        S    19:46   0:00 [scsi_eh_8]
root         193  0.0  0.0      0     0 ?        I<   19:46   0:00 [kworker/R-scsi_]
root         194  0.0  0.0      0     0 ?        S    19:46   0:00 [scsi_eh_9]
root         195  0.0  0.0      0     0 ?        I<   19:46   0:00 [kworker/R-scsi_]
root         196  0.0  0.0      0     0 ?        S    19:46   0:00 [scsi_eh_10]
root         197  0.0  0.0      0     0 ?        I<   19:46   0:00 [kworker/R-scsi_]
root         198  0.0  0.0      0     0 ?        S    19:46   0:00 [scsi_eh_11]
root         199  0.0  0.0      0     0 ?        I<   19:46   0:00 [kworker/R-scsi_]
root         200  0.0  0.0      0     0 ?        S    19:46   0:00 [scsi_eh_12]
root         201  0.0  0.0      0     0 ?        I<   19:46   0:00 [kworker/R-scsi_]
root         202  0.0  0.0      0     0 ?        S    19:46   0:00 [scsi_eh_13]
root         203  0.0  0.0      0     0 ?        I<   19:46   0:00 [kworker/R-scsi_]
root         204  0.0  0.0      0     0 ?        S    19:46   0:00 [scsi_eh_14]
root         205  0.0  0.0      0     0 ?        I<   19:46   0:00 [kworker/R-scsi_]
root         206  0.0  0.0      0     0 ?        S    19:46   0:00 [scsi_eh_15]
root         207  0.0  0.0      0     0 ?        I<   19:46   0:00 [kworker/R-scsi_]
root         208  0.0  0.0      0     0 ?        S    19:46   0:00 [scsi_eh_16]
root         209  0.0  0.0      0     0 ?        I<   19:46   0:00 [kworker/R-scsi_]
root         210  0.0  0.0      0     0 ?        S    19:46   0:00 [scsi_eh_17]
root         211  0.0  0.0      0     0 ?        I<   19:46   0:00 [kworker/R-scsi_]
root         212  0.0  0.0      0     0 ?        S    19:46   0:00 [scsi_eh_18]
root         213  0.0  0.0      0     0 ?        I<   19:46   0:00 [kworker/R-scsi_]
root         214  0.0  0.0      0     0 ?        S    19:46   0:00 [scsi_eh_19]
root         215  0.0  0.0      0     0 ?        I<   19:46   0:00 [kworker/R-scsi_]
root         216  0.0  0.0      0     0 ?        S    19:46   0:00 [scsi_eh_20]
root         217  0.0  0.0      0     0 ?        I<   19:46   0:00 [kworker/R-scsi_]
root         218  0.0  0.0      0     0 ?        S    19:46   0:00 [scsi_eh_21]
root         219  0.0  0.0      0     0 ?        I<   19:46   0:00 [kworker/R-scsi_]
root         220  0.0  0.0      0     0 ?        S    19:46   0:00 [scsi_eh_22]
root         221  0.0  0.0      0     0 ?        I<   19:46   0:00 [kworker/R-scsi_]
root         222  0.0  0.0      0     0 ?        S    19:46   0:00 [scsi_eh_23]
root         223  0.0  0.0      0     0 ?        I<   19:46   0:00 [kworker/R-scsi_]
root         224  0.0  0.0      0     0 ?        S    19:46   0:00 [scsi_eh_24]
root         225  0.0  0.0      0     0 ?        I<   19:46   0:00 [kworker/R-scsi_]
root         226  0.0  0.0      0     0 ?        S    19:46   0:00 [scsi_eh_25]
root         227  0.0  0.0      0     0 ?        I<   19:46   0:00 [kworker/R-scsi_]
root         228  0.0  0.0      0     0 ?        S    19:46   0:00 [scsi_eh_26]
root         229  0.0  0.0      0     0 ?        I<   19:46   0:00 [kworker/R-scsi_]
root         230  0.0  0.0      0     0 ?        S    19:46   0:00 [scsi_eh_27]
